department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Ain,1919.6764,0.012023486,8,0,8,0.001059635,0,48,0.00057002326,8,2015-01-01,2015,3.5263605246161616,6.5482793011074625,-0.06432363646634481,6.483955664641118
Aisne,1845.7281,0.011585475,6,0,8,0.0007025645,0,51,0.0005609022,6,2015-01-01,2015,3.5263605246161616,7.835760369011593,0.03470859099819964,7.870468960009793
Allier,1944.2534,0.012948714,6,0,6,0.0010710733,0,53,0.00061327196,6,2015-01-01,2015,3.5263605246161616,5.890825123601007,0.1262507774890728,6.01707590109008
Alpes_Maritimes,1497.9979,0.010338192,1,0,12,0.002999998,0,23,0.0005666687,1,2015-01-01,2015,3.5263605246161616,4.264639872050996,-0.1799672620378092,4.084672610013187
Alpes_de_Haute_Provence,1479.2439,0.010205291,1,0,17,0.002159148,0,11,0.0005900797,1,2015-01-01,2015,3.5263605246161616,3.5147832715759866,-0.035077915692279,3.4797053558837074
Ardeche,1683.573,0.016478313,2,0,9,0.003971503,0,44,0.0008501553,2,2015-01-01,2015,3.5263605246161616,3.3371815210107494,-0.15796085712347044,3.179220663887279
Ardennes,1796.2426,0.007865808,6,0,11,0.0006425112,0,51,0.00038826058,6,2015-01-01,2015,3.5263605246161616,7.384864758670925,-0.013398845387453276,7.371465913283472
Ariege,1436.7384,0.028585069,1,0,12,0.006765279,0,27,0.0016157405,1,2015-01-01,2015,3.5263605246161616,4.164606295214582,-0.018952074249706356,4.145654220964875
Aube,1946.9856,0.008682376,6,0,7,0.00038187,0,52,0.00040724274,6,2015-01-01,2015,3.5263605246161616,7.414301281009184,0.05511791544437156,7.469419196453556
Aude,2165.3936,0.015914235,13,3,0,0.00387108,0,57,0.0006796596,13,2015-01-01,2015,3.5263605246161616,4.474706389597284,-0.18297193505502896,4.291734454542254
Aveyron,1845.4147,0.020477394,5,0,7,0.0035065343,0,49,0.000990709,5,2015-01-01,2015,3.5263605246161616,4.569850435632102,0.0873935011537475,4.657243936785849
Bas_Rhin,1870.0599,0.008062024,8,0,10,0.0012764973,0,49,0.00038843323,8,2015-01-01,2015,3.5263605246161616,6.247364597098349,-0.07283545291467619,6.174529144183673
